Female Life Expectancy,LONGITUDE,Average Life Expectancy,People/ TV,People/ Physician,COUNTRY,Male Life Expectancy,LATITUDE,latitude,longitude
74.0,-58.5,70.5,4.0,370.0,Argentina,67.0,-34.333333,-34.333333,-58.5
53.0,90.26,53.5,315.0,6166.0,Bangladesh,54.0,23.43,23.43,90.26
68.0,-47.95,65.0,4.0,684.0,Brazil,62.0,-15.75,-15.75,-47.95
80.0,-73.75,76.5,1.7,449.0,Canada,73.0,45.4667,45.4667,-73.75
72.0,116.2,70.0,8.0,643.0,China,68.0,39.55,39.55,116.2
74.0,-74.076,71.0,5.6,1551.0,Colombia,68.0,4.6117,4.6117,-74.076
61.0,31.14,60.5,15.0,616.0,Egypt,60.0,30.01,30.01,31.14
53.0,38.42,51.5,503.0,36660.0,Ethiopia,50.0,9.02,9.02,38.42
82.0,2.2,78.0,2.6,403.0,France,74.0,38.42,38.42,2.2
79.0,13.25,76.0,2.6,346.0,Germany,73.0,52.3,52.3,13.25
58.0,77.13,57.5,44.0,2471.0,India,57.0,28.37,28.37,77.13
63.0,106.49,61.0,24.0,7427.0,Indonesia,59.0,6.09,6.09,106.49
65.0,51.3,64.5,23.0,2992.0,Iran,64.0,35.44,35.44,51.3
82.0,12.29,78.5,3.8,233.0,Italy,75.0,41.54,41.54,12.29
82.0,140.95,79.0,1.8,609.0,Japan,76.0,39.63,39.63,140.95
63.0,36.48,61.0,96.0,7615.0,Kenya,59.0,-1.266667,-1.266667,36.48
73.0,127.0,70.0,90.0,370.0,"Korea, North",67.0,37.583333,37.583333,127.0
73.0,126.58,70.0,4.9,1066.0,"Korea, South",67.0,37.31,37.31,126.58
76.0,-99.366667,72.0,6.6,600.0,Mexico,68.0,19.2,19.2,-99.366667
66.0,-8.03,64.5,21.0,4873.0,Morocco,63.0,31.62,31.62,-8.03
56.0,96.2,54.5,592.0,3485.0,Myanmar (Burma),53.0,19.75,19.75,96.2
57.0,73.1,56.5,73.0,2364.0,Pakistan,56.0,33.4,33.4,73.1
67.0,-77.028333,64.5,14.0,1016.0,Peru,62.0,-25.716667,-25.716667,-77.028333
67.0,121.03,64.5,8.8,1062.0,Philippines,62.0,14.4,14.4,121.03
77.0,21.0,73.0,3.9,480.0,Poland,69.0,52.13,52.13,21.0
75.0,26.1,72.0,6.0,559.0,Romania,69.0,44.27,44.27,26.1
74.0,37.616667,69.0,3.2,259.0,Russia,64.0,55.75,55.75,37.616667
67.0,28.12,64.0,11.0,1340.0,South Africa,61.0,-25.716667,-25.716667,28.12
82.0,3.45,78.5,2.6,275.0,Spain,75.0,40.25,40.25,3.45
54.0,32.35,53.0,23.0,12550.0,Sudan,52.0,15.31,15.31,32.35
78.0,121.0,75.0,3.2,965.0,Taiwan,72.0,23.766667,23.766667,121.0
55.0,35.0,52.5,0.0,25229.0,Tanzania,50.0,-6.0,-6.0,35.0
71.0,100.35,68.5,11.0,4883.0,Thailand,66.0,13.45,13.45,100.35
72.0,32.54,70.0,5.0,1189.0,Turkey,68.0,39.57,39.57,32.54
75.0,30.28,70.5,3.0,226.0,Ukraine,66.0,50.3,50.3,30.28
79.0,0.05,76.0,3.0,611.0,United Kingdom,73.0,51.36,51.36,0.05
79.0,-77.033333,75.5,1.3,404.0,United States,72.0,39.91,39.91,-77.033333
78.0,-63.9676,74.5,5.6,576.0,Venezuela,71.0,10.9129,10.9129,-63.9676
67.0,105.55,65.0,29.0,3096.0,Vietnam,63.0,21.05,21.05,105.55
56.0,23.616667,54.0,0.0,23193.0,Zaire,52.0,-3.45,-3.45,23.616667